,Unnamed: 0,idiom_id,idiom,sentence,emotion,usable,label
4468,5202,1040,elder sister,"""Sometimes, my elder sister's overprotectiveness causes a bit of frustration.""",Frustration,True,False
1266,1465,293,beg to differ,"After hearing his side, I couldn't help but beg to differ.",Frustration,True,False
4368,5084,1016,dust settle,"They were so anxious during the argument, but once the dust settled, they realized it had been a big misunderstanding.",Anxiety,True,False
1723,1990,398,blow it,She blew her chances at the promotion when she argued with the boss.,Frustration,True,False
7834,9112,1822,in cold blood,"They found out the betrayal was done in cold blood, and their trust was shattered.",Sadness,True,False
1845,2129,425,bone-crunching,She had to endure the bone-crunching pain of losing her loved ones to a tragedy.,Sadness,True,False
1875,2162,432,born with a silver spoon in one's mouth,"She's always had everything handed to her, so she doesn't understand our daily grind.",Resentment,True,False
3427,3968,793,country mile,"If she keeps complaining we are a country mile away from our destination, it causes a wave of frustration.",Frustration,True,False
2418,2787,557,by all means,"She doubted her own abilities, but I encouraged her to try, by all means.",Anxiety,True,False
6277,7320,1464,go so far as,She went so far as to blame her own mother for the mishap.,Resentment,True,False
2264,2602,520,buckle up,"He knew that when his parents found out about his failing grades, he'd need to buckle up for the storm of disappointment and distress that would follow.",Fear,True,False
4690,5468,1093,fall between the cracks,"He realized that by focusing too much on his own tasks, he had let his team's efforts fall between the cracks, resulting in guilt.",Guilt,True,False
6610,7702,1540,great beyond,His journey to the great beyond left his family feeling an overwhelming sense of loss and loneliness.,Sadness,True,False
3961,4599,919,do one's business,"Louise nervously glanced around, hoping nobody would walk by while she did her business in the bushes.",Anxiety,True,False
1338,1548,309,beneath the surface,"He maintained a calm demeanor, but his anxieties lurked beneath the surface.",Fear,True,False
4654,5428,1085,facts on the ground,"When she discovered the facts on the ground, her sense of unease grew stronger.",Anxiety,True,False
4051,4700,940,dog's breakfast,"He made a complete dog's breakfast of the presentation, leaving everyone unsatisfied and disappointed.",Frustration,True,False
351,393,78,against the world,"When the odds seemed insurmountable, they couldn't shake the feeling of constantly being against the world.",Frustration,True,False
4555,5309,1061,even money,The competition was a fierce one; we knew it would be even money until the very end.,Anxiety,True,False
1133,1303,260,baker's dozen,The baker's dozen of mistakes in the report left me feeling utterly disheartened.,Sadness,True,False
4495,5238,1047,empty promise,"They kept making empty promises about promotions, leaving the employees feeling frustrated.",Resentment,True,False
4146,4823,964,down the track,He couldn't shake the feeling that something unexpected awaited him down the track.,Anxiety,True,False
7539,8788,1757,honey trap,"After she led him into a honey trap, he was consumed with thoughts of revenge.",Resentment,True,False
6376,7432,1486,go underground,"When she discovered her ex-boyfriend had gone underground to avoid child support, her blood boiled with anger.",Anger,True,False
1099,1262,252,bad hair day,"Staring at himself in the mirror, he sighed at the unruly curls and knew this was not the impression he wanted to make.",Anxiety,True,False
7081,8260,1652,head for the hills,"When the storm was approaching, everyone in the village decided to head for the hills.",Anxiety,True,False
3892,4515,903,dirt-poor,"The family living next to us is dirt-poor, and it breaks my heart to see their struggles.",Pity,True,False
2058,2368,473,break with,Breaking with her family's expectations weighed heavily on her conscience.,Guilt,True,False
3217,3721,744,come to blows,Sam and Mark's friendship was tested when they came to blows over the girl they both liked.,Resentment,True,False
6900,8050,1610,hatchet man,"He's become the company's hatchet man, ruthlessly dismissing long-time employees without a second thought.",Resentment,True,False
4594,5354,1070,every time,"Every time she replays that embarrassing moment in her mind, she cringes involuntarily.",Humiliation,True,False
1270,1470,294,behind bars,"John had spent five years behind bars, feeling the bitter sting of anger every single day.",Anger,True,False
2688,3102,620,catch a cold,"Every time I prepare for an important event, I seem to catch a cold.",Anxiety,True,False
8457,9834,1966,jump to conclusions,It's unfair when you jump to conclusions without considering all the facts.,Frustration,True,False
3750,4350,870,dead meat,"When he finds out you scratched his car, you're dead meat.",Anger,True,False
2061,2371,474,breaking and entering,The thought of a stranger breaking and entering into her home filled Sarah with lingering anxiety.,Anxiety,True,False
3289,3809,761,come up with,"During the trivia contest, the sudden pressure on Lisa to come up with the correct answer made her nervous.",Fear,True,False
7009,8179,1635,have it easy,"As he watched his friends succeed with minimal effort, he couldn't help but feel frustrated knowing they have it easy.",Frustration,True,False
88,102,20,John Doe,"Despite his perfect attendance, John Doe's colleague won the promotion he had been gunning for.",Resentment,True,False
3847,4462,892,die down,"Jane anxiously paced her room, hoping her parents' heated argument would die down soon.",Anxiety,True,False
3517,4075,815,cross swords,"After disagreeing on the topic, the two friends crossed swords, leading to a heated argument.",Anger,True,False
6095,7107,1421,go along for the ride,"I felt like I was always just going along for the ride in their relationship, never the priority.",Sadness,True,False
342,381,76,against the grain,"She always acts against the grain during family gatherings, causing discomfort for everyone.",Frustration,True,False
8632,10040,2008,lab rat,"After working overtime all week, Tom felt like a lab rat, being controlled and observed by his boss.",Resentment,True,False
4750,5540,1108,fall through,"After months of planning, our trip to Europe fell through and left me with a sense of sadness.",Sadness,True,False
3876,4495,899,dig up dirt,"They always try to dig up dirt on political opponents, causing even more animosity between the parties.",Anger,True,False
675,774,154,as a rule,"As a rule of thumb, they avoid political discussions during family gatherings to prevent any frustration from escalating.",Frustration,True,False
5524,6433,1286,frown at,"The children frowned at the dark, stormy sky that forced them to cancel their plans for the day.",Sadness,True,False
5741,6686,1337,get into trouble,"She got into trouble once again, and her parents couldn't help but feel deeply disappointed.",Sadness,True,False
8460,9837,1967,jumped-up,The cruel manager relentlessly criticized the hardworking staff for being jumped-up.,Humiliation,True,False
3670,4254,850,date with destiny,A nagging fear grew inside her as she thought about her upcoming date with destiny.,Fear,True,False
8343,9700,1940,it takes two to tango,"From their relentless arguing, it was clear that both parties were involved in the problem; it takes two to tango.",Frustration,True,False
